Kata,POS Tag,Frekuensi
kacau,ADJ,4
janji,NOUN,3
brapa,NOUN,1
cma,PROPN,2
bkn,PROPN,2
brrti,PROPN,1
tnggung,PROPN,1
jwb,PROPN,1
dampingan,NOUN,1
alpikasi,NUM,1
makasihh,PROPN,2
merasakan,VERB,5
hasilnya,NOUN,3
menceritakan,VERB,1
khawatir,VERB,1
membantukode,PROPN,1
refferal,PROPN,4
ycwxha,PROPN,1
baguuuus,PROPN,1
rilis,NOUN,1
tahap,NOUN,1
dasar,ADJ,5
playnya,NOUN,1
stuck,PROPN,1
sekrang,PROPN,1
knapa,NUM,2
kmana,NUM,1
mengiluti,PROPN,1
program,NOUN,2
vaksin,NOUN,1
covit,PROPN,1
jakarta,PROPN,1
tgl,PROPN,5
juli,PROPN,2
agustus,PROPN,1
penat,NOUN,4
inget,NOUN,2
sabar,NOUN,3
garagara,NUM,2
ngebuat,NOUN,1
bullying,NOUN,1
play,NOUN,3
victim,NOUN,1
option,NOUN,1
pulsa,NOUN,3
bolak,NOUN,1
lfa,NOUN,1
gara,NOUN,7
mengkontrol,NOUN,2
terimahkasih,NOUN,1
amin,PROPN,2
seminggibersma,PROPN,1
sangan,NOUN,1
gatau,PROPN,3
w,NOUN,1
berkualitas,VERB,2
x,NOUN,11
apllikasinya,PROPN,1
sinyal,NOUN,4
marah,VERB,3
sungguh,ADV,4
lelet,PROPN,1
mendengarkan,VERB,3
mengahakimi,NOUN,1
sakitnya,NOUN,1
ngefek,NOUN,1
dpt,NOUN,7
serangan,NOUN,1
ngak,NOUN,3
gegabah,NOUN,1
mksih,NOUN,1
rekomendasiin,PROPN,1
ketemen,PROPN,1
wkwkwk,NUM,3
development,PROPN,1
melepas,VERB,2
halhal,NOUN,2
kmu,PROPN,1
rekomen,PROPN,3
overthingking,PROPN,1
aplikasinyaaa,PROPN,2
bermacam,VERB,1
sesuaikan,NOUN,1
pengembang,NOUN,1
bagusan,PROPN,1
no,PROPN,12
meregulasi,VERB,1
lagii,NOUN,3
ketahui,ADP,1
diupdate,NOUN,3
pencarian,NOUN,2
laman,NOUN,1
artikel,NOUN,4
adakan,NOUN,2
memudahkan,VERB,3
topikartikel,NOUN,1
butuhkan,PROPN,1
thks,PROPN,1
grow,PROPN,1
halah,PROPN,2
gw,PROPN,13
bner,PROPN,3
ngedown,NOUN,1
ama,NOUN,2
agustu,NUM,1
dimajuin,NUM,1
gila,ADJ,1
woy,NOUN,2
orng,PROPN,3
bunuh,VERB,4
tandanya,NOUN,1
situ,NOUN,2
mikir,VERB,2
oliv,PROPN,1
nanya,NOUN,4
trs,NOUN,9
hemat,VERB,1
makek,NOUN,1
penyimpanan,NOUN,3
internal,ADJ,1
sd,NOUN,1
didownload,VERB,4
bntu,NOUN,1
tambahkan,VERB,4
mode,NOUN,4
gelap,ADJ,3
wajib,NOUN,5
jga,NOUN,5
cool,PROPN,4
helping,PROPN,1
gelapnya,NOUN,1
sii,VERB,5
yth,PROPN,1
beralih,VERB,3
berkali,VERB,2
ttp,NOUN,4
full,PROPN,2
woii,PROPN,1
jatuh,VERB,2
cinta,NOUN,4
perkembangan,NOUN,1
sehari,NOUN,7
kelas,NOUN,2
sma,NOUN,5
remaja,NOUN,5
dri,NOUN,7
siang,NOUN,1
lunas,NOUN,1
gmana,NOUN,2
pengembalian,NOUN,1
sahabat,PROPN,1
maya,ADJ,1
introvert,NUM,4
kontak,NOUN,1
dibantu,VERB,4
nerima,PROPN,1
lebib,NOUN,1
melegakan,NOUN,2
sakit,ADJ,5
akibat,CONJ,1
kekerasan,NOUN,1
tetanggasaya,NOUN,1
diagnosis,NOUN,2
rentan,ADJ,1
sungkem,NOUN,2
mengolah,VERB,1
menotivasi,NOUN,1
memountai,NOUN,1
temn,PROPN,1
like,NOUN,5
lain,ADJ,1
merekomendasikan,VERB,2
ya,X,1
aplksi,NOUN,1
mnjdi,NOUN,1
apapun,NOUN,8
dah,NOUN,6
yya,NOUN,1
aplikasia,PROPN,1
bgs,PROPN,6
ccekali,PROPN,1
kenapaa,NUM,3
sumpahhhh,NUM,1
bohong,NOUN,1
lakuin,NUM,1
knpa,PROPN,3
y,PROPN,7
mendaftar,VERB,4
gmail,NOUN,2
min,NOUN,20
hasil,NOUN,2
regis,PROPN,1
mendaftarkan,VERB,2
loh,PROPN,5
gag,NOUN,1
asu,PROPN,1
mo,PROPN,2
ngobatin,NOUN,1
gra,NOUN,1
menciptakan,VERB,3
ad,NOUN,5
referall,NOUN,1
yqavtu,NUM,1
bru,NOUN,2
without,NOUN,1
do,NOUN,1
not,PROPN,3
know,NOUN,1
how,NOUN,1
be,PROPN,2
feeling,NOUN,1
bangeetttt,NUM,1
ak,NOUN,6
tangan,NOUN,2
kakiku,NOUN,2
basah,ADJ,2
lgsg,NOUN,4
nyiptain,NOUN,1
keluh,NOUN,5
kesah,NOUN,5
duka,NOUN,1
dibaca,VERB,3
reminder,NUM,4
instrument,PROPN,1
halmasalah,NUM,1
barangkali,VERB,1
medis,ADJ,2
rekomend,NUM,1
segar,ADJ,1
yoga,NOUN,1
enak,ADJ,10
medetasinya,NUM,1
mng,NUM,1
hlang,NOUN,1
nii,PROPN,1
eicadx,NUM,1
q,VERB,4
nasehat,NOUN,4
masukkan,VERB,4
reveral,NOUN,4
zpbkod,NUM,1
reverral,NUM,1
nxih,PROPN,1
mqwzo,NOUN,1
nenangin,NOUN,4
masukin,NOUN,7
rkvfjr,NOUN,1
apakh,PROPN,1
referal,NOUN,5
wjjoge,NUM,1
buatan,NOUN,1
pobia,NOUN,1
nada,NOUN,1
nenanging,NOUN,1
sepi,NOUN,7
btw,NOUN,7
emang,NOUN,7
benerbener,NOUN,3
harap,PROPN,6
membeli,VERB,3
berbayarnya,NUM,2
ayoo,PROPN,1
referalku,PROPN,2
bqoz,PROPN,1
nikmati,VERB,3
benefit,NOUN,1
mengheal,NOUN,1
pertolongan,NOUN,3
smua,NOUN,3
males,NOUN,3
dikala,NOUN,2
tuntaskan,PROPN,1
inspiratif,ADJ,1
tersambung,VERB,1
mereda,VERB,1
umat,NOUN,1
manusia,NOUN,3
sukaaaaakk,PROPN,1
bangeet,NOUN,3
nyesel,NOUN,11
sabagus,NUM,1
ketiga,NUM,2
setahun,NOUN,2
founder,PROPN,1
staff,PROPN,1
creating,PROPN,1
amazing,PROPN,4
god,PROPN,2
bless,PROPN,1
membantuu,NUM,1
japcso,NOUN,1
membangun,VERB,2
temanku,NOUN,1
siapa,NOUN,1
enteng,NOUN,1
ah,VERB,1
masak,NOUN,2
diharuskan,VERB,1
nyantumin,NOUN,1
nomer,NOUN,1
handphone,NOUN,2
energi,NOUN,1
negatif,ADJ,3
bijak,ADJ,4
odb,PROPN,1
hihi,NUM,2
menyukainya,PROPN,1
ngerasain,VERB,1
memuaskan,VERB,8
kecuali,ADV,1
terlambat,ADJ,1
kesan,NOUN,1
menyalahkan,VERB,1
mending,NOUN,10
untung,NOUN,1
ambil,NOUN,1
rugi,NOUN,2
cus,NOUN,1
smga,NOUN,1
jiwa,NOUN,9
terganggu,VERB,2
anxiety,NOUN,3
disolder,NUM,1
rebahan,NOUN,1
mengisi,VERB,1
kesepian,NOUN,2
berobat,NOUN,1
kebolehan,NOUN,1
terkendala,VERB,1
biaya,NOUN,6
sangat,ADV,4
myself,NOUN,1
more,NOUN,2
untk,PROPN,1
negri,NOUN,2
gmna,PROPN,7
apkah,NOUN,1
via,ADP,5
khusus,ADJ,1
kah,NOUN,5
relatif,ADV,1
memenuhi,VERB,1
perbaikan,NOUN,2
kejiwaanpola,NOUN,1
pikir,VERB,5
seseorang,NOUN,1
gue,X,8
bsnyak,NOUN,1
dibutuhkan,VERB,2
bangeeet,NUM,1
menyesal,NOUN,2
ptsd,NOUN,1
biayanya,NOUN,1
hangat,ADJ,1
makasiii,PROPN,1
fisik,ADJ,2
help,NOUN,2
lot,PROPN,1
nyaa,PROPN,1
huhu,PROPN,3
beraktivitas,VERB,1
seri,NOUN,2
lainya,ADJ,1
sukaaaaa,PROPN,1
mantapppp,NOUN,1
setenang,PROPN,1
senyaman,NOUN,1
baguuus,NOUN,1
membantuuu,NUM,2
nemu,NOUN,4
inii,NUM,2
bibi,NOUN,1
ngurus,PROPN,1
rmh,NUM,1
gtw,PROPN,1
hrs,NUM,5
ketemu,VERB,2
ngeluh,NUM,1
sklh,PROPN,1
family,PROPN,1
macem,PROPN,1
topikny,PROPN,1
ditanyain,PROPN,1
perasaanmu,PROPN,1
disitu,NOUN,2
cuz,NOUN,1
akhirny,PROPN,1
feel,NOUN,3
admin,NOUN,12
diputar,VERB,2
offline,NOUN,7
bgttttt,PROPN,1
luvv,NUM,1
publik,NOUN,1
komentarin,NUM,1
berteman,VERB,2
mengomentarinya,NOUN,1
sekian,NOUN,2
illnes,NOUN,2
alami,ADJ,5
merasakannya,NOUN,1
sebelumya,NOUN,1
gg,PROPN,2
k,NOUN,6
analisis,NOUN,1
quotes,NOUN,1
menerka,NOUN,1
kesell,PROPN,1
menbantu,PROPN,1
ngilangin,NOUN,2
tapiiiii,PROPN,2
rerlalu,NUM,1
menguras,VERB,1
kuota,NOUN,4
nyalain,NOUN,1
cek,NOUN,3
mb,NOUN,1
andai,NOUN,1
jarang,ADV,3
ditemukan,VERB,1
baguuuss,PROPN,1
malam,NOUN,6
donwload,NUM,2
untukku,NOUN,1
berjuang,VERB,1
crisis,PROPN,1
life,PROPN,1
tauny,NOUN,1
menghapus,VERB,2
alarm,NOUN,1
seminggu,NOUN,8
tiymad,NUM,1
meredakan,VERB,2
satunya,DET,4
kepenatan,NOUN,1
kegelisahan,NOUN,1
miliki,NOUN,2
dowload,NUM,1
memulihkan,VERB,2
performa,NOUN,1
yaaa,NOUN,3
variatif,NOUN,1
monoton,NOUN,1
terimaksi,PROPN,1
menikmatinya,NOUN,1
updatean,NUM,1
terbaru,ADJ,2
ll,NOUN,1
appreciate,NOUN,1
inti,NOUN,1
bernafas,NOUN,1
imajinasi,NOUN,1
seandainya,CONJ,2
berkonsultasi,VERB,5
temukan,VERB,1
problem,NOUN,5
menolong,VERB,5
menyerah,VERB,1
bermeditasi,NOUN,2
assalamualaikum,PROPN,2
tekanan,NOUN,1
teratur,ADJ,1
peduli,VERB,3
wassalamualaikum,PROPN,1
wrwb,PROPN,1
diedit,VERB,2
sebelumnyauntuk,NOUN,1
insecure,PROPN,2
bangun,NOUN,1
motivasi,NOUN,6
org,NOUN,10
membacanya,VERB,1
termotivasi,VERB,2
ksh,NUM,5
kek,NOUN,1
hasilny,NOUN,1
uangnya,NOUN,2
hangus,VERB,1
ddigunakan,NOUN,1
pemula,NOUN,1
sumpah,NOUN,5
opsi,NOUN,2
memaafkan,VERB,1
ampuh,NOUN,1
htebest,NOUN,1
ketiduran,NOUN,1
shopeepay,NOUN,2
menghubungkannya,VERB,1
br,NOUN,1
diskon,NOUN,1
th,PROPN,1
thxjjr,NOUN,1
gini,NOUN,7
abis,NOUN,9
denger,NOUN,4
sarannyathx,NOUN,1
berattt,NUM,1
murah,ADJ,8
bulannya,NOUN,1
sanggup,VERB,1
mengeluarkan,VERB,2
menginstal,VERB,1
tujuan,NOUN,2
selamat,ADJ,4
hidupmu,NOUN,1
berusaha,VERB,1
memciptakan,NOUN,1
temenku,NUM,1
bekas,NOUN,1
kalender,PROPN,4
ilanggg,NOUN,1
pengaturan,NOUN,1
struggling,NUM,1
volunteer,NOUN,1
proaktif,NOUN,1
relieving,NOUN,1
sempet,PROPN,2
counselor,NOUN,1
bot,PROPN,1
follow,NOUN,1
questions,NOUN,1
berbobot,VERB,2
konklusi,NOUN,1
sarannya,NOUN,2
mostly,PROPN,1
jualan,NOUN,1
butterfly,PROPN,1
hug,PROPN,1
relieved,PROPN,1
fyi,PROPN,1
nonton,VERB,3
drakor,NOUN,1
kucing,NOUN,1
menjauh,ADJ,1
ajak,NOUN,4
kegundahan,NOUN,1
syukuri,NOUN,1
ujian,NOUN,1
dikendalikan,VERB,1
semenjak,ADP,2
bangetttt,NOUN,1
kasi,NOUN,4
nyari,NOUN,4
banyakk,PROPN,1
usianya,NOUN,1
tulis,VERB,4
permaluin,PROPN,1
alfamart,PROPN,3
rilif,NUM,1
kunjungi,VERB,1
woi,NUM,2
bisaa,NOUN,2
gakbisa,NOUN,1
silahkan,PROPN,2
dicoba,VERB,8
kodeku,NOUN,1
rczepe,NUM,1
referralku,NOUN,1
liivfq,NUM,1
tampilannya,PROPN,3
didalamnya,NOUN,1
rqbjck,NUM,1
ceritain,NUM,1
ni,PROPN,8
berkatakata,VERB,1
kalan,NUM,1
jugaa,NOUN,1
tementemen,NOUN,1
ipxfvs,NUM,1
notifikasi,NOUN,4
reliv,NOUN,1
menghapusnya,VERB,1
persatu,NOUN,1
suaranyaa,PROPN,1
ademm,NUM,1
rating,PROPN,3
du,VERB,1
refeal,NOUN,2
zacrss,NUM,1
audionya,NOUN,1
dibatasi,VERB,3
penyimpanannya,NOUN,1
berlaku,VERB,1
atur,NOUN,2
pernafasan,NOUN,1
alhamdullilah,PROPN,1
krana,PROPN,1
fast,NOUN,6
giving,NOUN,1
motivation,NOUN,1
person,NOUN,2
dibilang,VERB,2
chattingan,NOUN,1
robot,NOUN,1
dapet,NOUN,11
dijawabnya,NOUN,1
ala,ADP,1
kadarnya,NOUN,1
gajadi,NUM,1
remindernya,PROPN,2
dihapus,VERB,1
diatur,VERB,1
akunnya,NOUN,1
hari,NOUN,2
pasang,PROPN,2
pengingat,NOUN,2
apus,PROPN,3
ato,NOUN,1
kdg,NOUN,1
ganggu,PROPN,1
memilih,VERB,1
wifi,NOUN,2
sosmed,NUM,3
merugikan,VERB,1
rescedule,NOUN,1
lelapnya,PROPN,3
insom,PROPN,3
mendingan,NUM,1
jernih,ADJ,6
dimengerti,VERB,1
doank,PROPN,1
dampak,NOUN,1
apa,NOUN,3
mengendalikan,VERB,2
berpikir,NOUN,4
dlm,NOUN,5
trm,PROPN,1
awesome,PROPN,3
jempol,PROPN,3
dipikiran,NUM,1
rilexs,NUM,1
ribu,NOUN,4
gimnaa,PROPN,1
rimender,NOUN,1
berkonsentrasi,VERB,1
prsaan,NOUN,1
kg,NOUN,1
youu,PROPN,1
tiktoknya,NUM,1
sayaa,NOUN,1
makaaasssiihh,NUM,1
jdi,NOUN,8
tenangg,NOUN,1
minusnya,NUM,1
hhi,NUM,1
santai,NOUN,2
sllu,NOUN,3
tiktok,NOUN,3
dwonload,PROPN,1
memutar,VERB,1
byr,NOUN,2
lho,PROPN,1
krna,PROPN,4
seserius,PROPN,1
terapi,NOUN,3
relaks,NOUN,2
ditanggung,VERB,1
thankss,NUM,1
psikiatertp,PROPN,1
bertatap,VERB,2
muka,NOUN,5
apkikasi,NOUN,1
sayadan,NOUN,1
perkenalan,NOUN,3
tingkat,NOUN,3
skalanya,NOUN,1
mba,NOUN,1
stlh,PROPN,2
pulih,VERB,2
bolakbalik,VERB,1
depak,NUM,1
dibenerin,PROPN,1
gan,PROPN,4
ibu,NOUN,2
letih,NOUN,1
keseharian,NOUN,1
itu,DET,1
berkembang,VERB,4
pesat,ADJ,2
recommend,NUM,1
kesannya,PROPN,1
berubahubah,NUM,1
fase,NOUN,1
sesak,NOUN,1
dada,NOUN,1
pengalihan,NOUN,1
karuan,NOUN,1
gunain,NUM,3
efektif,ADJ,2
calmingtrs,NOUN,1
nemenin,NUM,1
lelapada,PROPN,1
try,NOUN,3
luck,NOUN,5
are,PROPN,1
matter,PROPN,1
cowpdi,PROPN,1
kodee,NOUN,1
harapkan,VERB,1
ddcpik,NUM,1
pandemi,NOUN,1
woww,PROPN,1
bnyak,NOUN,5
ngeloading,NOUN,1
rilliv,NOUN,1
dkceig,NOUN,1
haritingkatkan,NOUN,1
terpercaya,ADJ,1
bbrp,NOUN,1
hr,PROPN,2
smlm,NOUN,1
hisa,NUM,1
jpd,NOUN,1
dwldw,NOUN,1
e,NOUN,1
tulisnya,NOUN,1
butuhny,NOUN,1
tztssf,NUM,1
berisik,NOUN,1
knl,PROPN,1
terpengaruh,VERB,1
omongan,NOUN,1
cobalah,PROPN,2
motivasisebagus,NUM,1
bukunya,NOUN,1
install,NOUN,7
rp,PROPN,1
peroleh,NOUN,1
keluarkan,NOUN,1
aplikasiny,NUM,1
ngikutin,PROPN,1
xybhch,PROPN,1
referral,NOUN,6
jxqwba,NUM,1
make,PROPN,4
born,NOUN,1
again,PROPN,1
pagi,NOUN,3
msalnya,NOUN,1
sorenya,NOUN,1
b,NOUN,2
dibawah,ADP,4
audio,NOUN,5
sediakan,NOUN,1
tombol,NOUN,3
terjedajeda,NOUN,1
makasi,PROPN,2
ceria,ADJ,1
berbanding,VERB,1
tatap,NOUN,4
aplilasi,NOUN,1
fohdwn,NUM,1
musiknya,NOUN,1
menyudutkan,VERB,1
berpenghasilan,VERB,2
overall,NOUN,2
aware,NOUN,1
tubuh,NOUN,5
biasaaa,NOUN,1
patut,ADV,2
didukung,VERB,1
yf,PROPN,1
mencintai,VERB,1
apaapa,PROPN,1
mesti,ADV,7
unistall,NUM,1
dikurangin,NOUN,1
suaranya,PRON,1
umur,NOUN,3
gercep,NUM,2
daan,PROPN,1
buru,NOUN,1
lubuk,NOUN,1
terdalam,NOUN,1
ditambah,VERB,7
gratisnya,NOUN,4
well,NOUN,2
bnyk,NOUN,2
terluka,NOUN,1
huhuhu,NUM,1
zanbdz,NOUN,1
reward,PROPN,1
instagram,NOUN,1
mengoba,NOUN,1
harapan,NOUN,2
kearna,NOUN,1
mahasiswa,NOUN,1
lulus,NOUN,1
memikirkan,VERB,2
obatnya,NOUN,1
cra,NOUN,1
penjelasan,NOUN,3
td,NOUN,2
cba,PROPN,1
darurat,ADJ,4
dengartau,NOUN,1
say,NOUN,2
tdr,NOUN,1
smangat,PROPN,1
jgn,NOUN,3
fyzaa,NOUN,1
freenya,PROPN,1
setps,NOUN,1
unlocked,NOUN,1
mengupgrade,VERB,1
have,NOUN,1
day,PROPN,2
curhatnya,NOUN,4
ngerti,VERB,2
mhn,NOUN,1
guud,PROPN,1
apak,NUM,1
awal,ADJ,1
awalny,NOUN,1
tunggu,VERB,3
lama,ADJ,1
naik,VERB,1
dear,PROPN,2
digratiskan,PROPN,2
nya,NOUN,1
dev,PROPN,1
suda,PROPN,1
habispas,PROPN,1
lekas,VERB,1
depannya,NOUN,1
oh,NOUN,4
kodenya,PROPN,3
xjwvyw,NUM,1
terbatas,VERB,1
rongan,NUM,1
hrghwm,PROPN,1
daritadi,PROPN,1
melogin,PROPN,1
aing,NOUN,1
sanggat,NUM,2
melonjak,NOUN,1
bismillah,PROPN,2
wymaft,NUM,1
kekecewaan,NOUN,1
smoga,NOUN,3
berkah,NOUN,2
bagaiman,PROPN,1
pemutar,NOUN,1
berhenti,VERB,3
layar,NOUN,1
ponsel,NOUN,1
mati,NOUN,2
samsung,PROPN,1
as,PROPN,1
perhatiannya,NOUN,1
perbaikannya,NUM,2
gabung,NOUN,3
fenwy,NOUN,1
teruss,PROPN,1
suruh,NOUN,8
whyyy,NUM,1
akulaku,NUM,1
seosgx,NUM,1
bergabung,PROPN,1
tertarik,VERB,3
fiturfitur,PROPN,2
iwgudy,PROPN,1
mari,NOUN,1
yu,NOUN,1
vvip,NOUN,1
minggu,NOUN,4
ngalamin,NUM,1
semurah,NOUN,1
qbvis,NOUN,1
ngerefresh,NOUN,1
mantabb,PROPN,1
dahh,NUM,1
juni,NOUN,1
satupun,NOUN,1
padaku,NOUN,1
tentangku,NOUN,1
menghampiri,VERB,1
nemuin,NUM,3
tes,NOUN,2
warga,NOUN,1
miskin,ADJ,3
diskonnya,NOUN,1
psikologisnya,NOUN,1
gua,NOUN,11
psikologinya,NOUN,1
kompleks,NOUN,1
hahaha,NOUN,2
rilivaku,NUM,1
bawaanya,NOUN,1
besok,NOUN,2
jalanin,NOUN,1
ofbpmm,NUM,1
ter,NOUN,1
mantappppp,NUM,1
bebas,ADJ,2
refereal,NOUN,1
dztarl,NUM,1
parahh,NUM,1
bermakna,VERB,1
xnzjy,NUM,1
didnld,NUM,1
pspbjg,NUM,1
gaiskode,PROPN,1
hxxrao,NOUN,1
meningkatkan,VERB,3
deep,NOUN,1
okluxl,NOUN,1
cepet,NOUN,5
iya,NOUN,2
voucer,NUM,1
ttifiq,PROPN,1
aplikasih,PROPN,1
recomed,NUM,1
caadsi,PROPN,1
ketik,NOUN,4
dijamin,VERB,4
gxnege,PROPN,1
ngaruh,NOUN,1
egpyii,NUM,1
bolmq,PROPN,1
yaaaaa,NUM,1
ttnney,NUM,1
jlnduf,NUM,1
access,PROPN,2
since,NOUN,1
used,NOUN,1
was,PROPN,1
able,NOUN,1
wake,NOUN,1
morning,NOUN,1
making,NOUN,1
kesemuanya,NOUN,1
khususkan,NUM,1
jenis,NOUN,2
seputar,ADP,1
passion,NOUN,1
jurusan,NOUN,1
kuliah,NOUN,1
ohiya,NOUN,1
idtsue,NUM,1
kayaknya,NOUN,3
diliat,VERB,1
reviewnya,NOUN,2
bintangnya,NOUN,3
jnqkhm,NUM,1
yoapbl,PROPN,1
alxisa,PROPN,1
nikmatin,NUM,3
promonya,PROPN,2
soalx,NUM,1
join,PROPN,1
saranin,NUM,2
bisanya,NOUN,2
siangbangun,NUM,1
sore,NOUN,1
lohh,NUM,1
dibatasin,PROPN,1
wwcqyn,NOUN,1
voucherku,NOUN,1
membawa,VERB,3
ysng,NOUN,1
dilanda,VERB,1
menguasai,VERB,1
susana,PROPN,1
gontaganti,NOUN,1
kesukaan,NOUN,1
rilex,NOUN,1
pikirannya,NOUN,1
raga,NOUN,1
oqhckj,PROPN,1
yakss,NUM,1
sepenuhnya,ADJ,1
pendapatan,NOUN,1
dialihkan,VERB,1
permintaanya,NUM,1
diwujudkan,VERB,1
rekomended,PROPN,2
skali,PROPN,1
ikutan,NOUN,1
pke,NUM,1
eimltb,PROPN,1
pgn,PROPN,1
trialnya,NOUN,1
orangnya,NOUN,2
menuntaskan,VERB,1
mohin,NOUN,1
bgyfcq,PROPN,1
km,NOUN,2
dirimu,NOUN,1
paketnya,NOUN,1
merespon,VERB,3
ekspektasi,NOUN,1
junk,PROPN,1
okesip,PROPN,1
direkomendasikan,VERB,2
bamwjg,PROPN,1
promo,NOUN,1
kantuk,NOUN,1
membimbing,VERB,1
nyangka,NOUN,1
sengebantu,NOUN,1
buatku,NOUN,2
bngung,NOUN,1
referensi,NOUN,1
dmn,NOUN,1
yaudah,NOUN,2
isinya,NOUN,1
lengkapp,NOUN,1
oiya,PROPN,2
siii,NUM,1
kalinya,NOUN,1
kedamaian,NOUN,1
relaksasi,NOUN,2
bikini,NOUN,1
addict,NOUN,1
asik,PROPN,5
trutama,NOUN,1
crita,PROPN,2
srg,PROPN,1
putus,PROPN,2
tmbahin,NOUN,1
edited,PROPN,1
diajarin,NOUN,1
nol,NOUN,3
mediator,NOUN,1
obat,NOUN,1
worry,NOUN,1
survive,NOUN,1
lzbibz,NUM,1
dapatkan,PROPN,1
vouchernya,NUM,1
illustrasinya,NOUN,1
negeri,NOUN,2
kalangan,NOUN,2
insomia,NOUN,1
pulas,NOUN,1
gelisah,NOUN,3
pelariannya,NOUN,1
subuh,NOUN,1
ngorok,NUM,1
nuansa,NOUN,1
reccomend,NUM,1
jann,PROPN,1
sipp,PROPN,2
juoss,PROPN,1
gilak,NOUN,1
dirasa,PROPN,1
bintangx,NOUN,1
sugesti,NOUN,1
mengatur,VERB,2
nafas,NOUN,1
kepala,NOUN,1
fiks,PROPN,1
dimana,ADP,1
aka,NOUN,2
crash,PROPN,2
release,NOUN,1
store,NOUN,2
insyaallah,PROPN,1
sngt,PROPN,2
luangkan,PROPN,1
bangetttttt,NUM,2
tambahbanyakin,NOUN,1
even,NOUN,1
am,PROPN,1
open,NOUN,1
season,NOUN,1
still,NOUN,1
pikirkan,NOUN,1
syarat,NOUN,1
ketentuannya,NOUN,1
menyakiti,NOUN,1
sendirijika,PROPN,1
memadai,ADJ,1
mengeluhkan,VERB,1
menitmenit,NOUN,1
terimaksih,NOUN,1
hebat,ADJ,2
rejeki,NOUN,1
user,VERB,13
friendly,VERB,1
pembaruan,NOUN,1
disesuaikan,VERB,1
keliatan,VERB,1
eksis,VERB,1
jadwalnya,NOUN,2
padat,ADJ,1
dilayani,VERB,1
antrean,NOUN,1
mu,PROPN,1
yahhh,PROPN,1
wni,PROPN,1
tinggal,VERB,2
nigeria,PROPN,2
pencerahnnya,PROPN,1
rada,NOUN,1
kusuka,PROPN,1
video,NOUN,3
tbtb,PROPN,1
terlogout,PROPN,1
bacaannya,NOUN,1
succesfull,NOUN,1
reinstall,NOUN,1
oppo,NUM,1
langganannya,NOUN,1
langsun,NOUN,1
sharing,VERB,5
adasangat,PROPN,1
copot,VERB,4
urusan,NOUN,3
alam,NOUN,1
dibandingkan,VERB,3
lainn,NOUN,1
heehe,NOUN,1
tengkyuu,NUM,1
hope,NOUN,1
live,PROPN,1
terimakasiiiih,PROPN,1
tapz,PROPN,1
daftra,PROPN,1
kesalahan,NOUN,2
ngerileksin,NUM,1
harm,NOUN,3
gud,PROPN,1
chatting,VERB,1
your,PROPN,3
heart,NOUN,1
naratornya,NOUN,1
enakan,NOUN,1
badanku,NUM,1
close,NOUN,1
diulang,VERB,2
dicepatin,NOUN,1
menitnya,NUM,1
nanggung,PROPN,1
startup,PROPN,1
mahasiswapelajar,NOUN,1
berbicara,VERB,1
institusi,NOUN,1
merogoh,NOUN,1
maksimal,ADJ,1
uhh,PROPN,1
syg,NOUN,2
sesinya,PROPN,3
sebntr,PROPN,1
refund,NOUN,1
penyampaiannya,NOUN,1
